platform,rgt,laser,year,month,day,centroid_lon,centroid_lat,total_width,non-iceberg_width,comment,azimuth
WV,725,3l,2017,4,2,-25.0871,-75.4381,36.3,36.3,-,-171.1
WV,725,3l,2017,11,17,-25.0871,-75.4381,198.0,198.0,-,-171.1
WV,725,3l,2017,11,21,-25.0871,-75.4381,191.1,191.1,-,-171.1
WV,725,3l,2019,1,8,-25.0871,-75.4381,363.3,363.3,-,-171.1
WV,725,3l,2019,4,12,-25.0871,-75.4381,385.9,385.9,-,-171.1
WV,725,3l,2019,9,17,-25.0871,-75.4381,450.5,450.5,-,-171.1
WV,725,3l,2019,11,2,-25.0871,-75.4381,511.4,511.4,-,-171.1
WV,725,3l,2019,12,12,-25.0871,-75.4381,519.2,519.2,-,-171.1
WV,725,3l,2020,3,18,-25.0871,-75.4381,545.7,545.7,-,-171.1
WV,725,3l,2020,3,22,-25.0871,-75.4381,531.7,531.7,-,-171.1
WV,725,3l,2020,3,25,-25.0871,-75.4381,535.5,535.5,-,-171.1
WV,725,3l,2020,10,30,-25.0871,-75.4381,780.0,780.0,-,-171.1
WV,725,3l,2020,11,29,-25.0871,-75.4381,790.9,790.9,-,-171.1
WV,725,3l,2021,1,19,-25.0871,-75.4381,810.0,810.0,-,-171.1
WV,725,3l,2021,9,7,-25.0871,-75.4381,640.3,640.3,-,-171.1
WV,725,3r,2017,4,2,-25.0836,-75.4379,39.3,39.3,-,-171.1
WV,725,3r,2017,11,17,-25.0836,-75.4379,155.8,155.8,-,-171.1
WV,725,3r,2017,11,21,-25.0836,-75.4379,155.9,155.9,-,-171.1
WV,725,3r,2019,1,8,-25.0836,-75.4379,356.5,356.5,-,-171.1
WV,725,3r,2019,4,12,-25.0836,-75.4379,400.7,400.7,-,-171.1
WV,725,3r,2019,9,17,-25.0836,-75.4379,482.5,482.5,-,-171.1
WV,725,3r,2019,12,12,-25.0836,-75.4379,526.3,526.3,-,-171.1
WV,725,3r,2020,3,18,-25.0836,-75.4379,523.0,523.0,-,-171.1
WV,725,3r,2020,3,22,-25.0836,-75.4379,512.8,512.8,-,-171.1
WV,725,3r,2020,3,25,-25.0836,-75.4379,513.5,513.5,-,-171.1
WV,725,3r,2020,10,30,-25.0836,-75.4379,774.6,774.6,-,-171.1
WV,725,3r,2020,11,29,-25.0836,-75.4379,788.9,788.9,-,-171.1
WV,725,3r,2021,1,19,-25.0836,-75.4379,777.4,777.4,-,-171.1
WV,725,3r,2021,9,7,-25.0836,-75.4379,647.7,647.7,-,-171.1
L8,725,3l,2017,11,12,-25.0871,-75.4381,164.0,164.0,-,-171.1
L8,725,3l,2017,12,21,-25.0871,-75.4381,181.0,181.0,-,-171.1
L8,725,3l,2017,12,30,-25.0871,-75.4381,179.0,179.0,-,-171.1
L8,725,3l,2018,1,8,-25.0871,-75.4381,174.0,174.0,-,-171.1
L8,725,3l,2018,2,14,-25.0871,-75.4381,189.0,189.0,-,-171.1
L8,725,3l,2018,3,11,-25.0871,-75.4381,185.0,185.0,-,-171.1
L8,725,3l,2018,9,28,-25.0871,-75.4381,392.0,392.0,-,-171.1
L8,725,3l,2018,10,5,-25.0871,-75.4381,380.0,380.0,-,-171.1
L8,725,3l,2018,10,12,-25.0871,-75.4381,359.0,359.0,-,-171.1
L8,725,3l,2018,10,14,-25.0871,-75.4381,370.0,370.0,-,-171.1
L8,725,3l,2018,10,21,-25.0871,-75.4381,361.0,361.0,-,-171.1
L8,725,3l,2018,11,29,-25.0871,-75.4381,372.0,372.0,-,-171.1
L8,725,3l,2019,1,18,-25.0871,-75.4381,351.0,351.0,-,-171.1
L8,725,3l,2019,2,19,-25.0871,-75.4381,367.0,367.0,-,-171.1
L8,725,3l,2019,3,23,-25.0871,-75.4381,367.0,367.0,-,-171.1
L8,725,3l,2019,10,1,-25.0871,-75.4381,456.0,456.0,-,-171.1
L8,725,3l,2019,10,17,-25.0871,-75.4381,472.0,472.0,-,-171.1
L8,725,3l,2019,10,31,-25.0871,-75.4381,457.0,457.0,-,-171.1
L8,725,3l,2019,11,2,-25.0871,-75.4381,488.0,488.0,-,-171.1
L8,725,3l,2019,12,2,-25.0871,-75.4381,502.0,502.0,-,-171.1
L8,725,3l,2019,12,27,-25.0871,-75.4381,516.0,516.0,-,-171.1
L8,725,3l,2020,1,28,-25.0871,-75.4381,506.0,506.0,-,-171.1
L8,725,3l,2020,2,20,-25.0871,-75.4381,508.0,508.0,-,-171.1
L8,725,3l,2020,2,22,-25.0871,-75.4381,501.0,501.0,-,-171.1
L8,725,3l,2020,9,24,-25.0871,-75.4381,691.0,691.0,-,-171.1
L8,725,3l,2020,10,1,-25.0871,-75.4381,723.0,723.0,-,-171.1
L8,725,3l,2020,10,10,-25.0871,-75.4381,727.0,727.0,-,-171.1
L8,725,3l,2020,10,19,-25.0871,-75.4381,770.0,770.0,-,-171.1
L8,725,3l,2020,11,18,-25.0871,-75.4381,774.0,774.0,-,-171.1
L8,725,3l,2020,12,22,-25.0871,-75.4381,799.0,799.0,-,-171.1
L8,725,3l,2021,1,7,-25.0871,-75.4381,780.0,780.0,-,-171.1
L8,725,3l,2021,2,6,-25.0871,-75.4381,802.0,802.0,-,-171.1
L8,725,3l,2021,9,20,-25.0871,-75.4381,616.0,616.0,-,-171.1
L8,725,3l,2021,10,6,-25.0871,-75.4381,635.0,635.0,-,-171.1
L8,725,3l,2021,10,20,-25.0871,-75.4381,650.0,650.0,-,-171.1
L8,725,3l,2021,11,5,-25.0871,-75.4381,640.0,640.0,-,-171.1
L8,725,3l,2021,11,7,-25.0871,-75.4381,647.0,647.0,-,-171.1
L8,725,3l,2021,12,5,-25.0871,-75.4381,668.0,668.0,-,-171.1
L8,725,3l,2021,12,25,-25.0871,-75.4381,666.0,666.0,-,-171.1
L8,725,3r,2017,11,12,-25.0836,-75.4379,131.0,131.0,-,-171.1
L8,725,3r,2017,12,21,-25.0836,-75.4379,151.0,151.0,-,-171.1
L8,725,3r,2017,12,30,-25.0836,-75.4379,162.0,162.0,-,-171.1
L8,725,3r,2018,1,8,-25.0836,-75.4379,153.0,153.0,-,-171.1
L8,725,3r,2018,2,14,-25.0836,-75.4379,171.0,171.0,-,-171.1
L8,725,3r,2018,3,11,-25.0836,-75.4379,178.0,178.0,-,-171.1
L8,725,3r,2018,9,28,-25.0836,-75.4379,310.0,310.0,-,-171.1
L8,725,3r,2018,10,5,-25.0836,-75.4379,324.0,324.0,-,-171.1
L8,725,3r,2018,10,12,-25.0836,-75.4379,337.0,337.0,-,-171.1
L8,725,3r,2018,10,14,-25.0836,-75.4379,340.0,340.0,-,-171.1
